"x","y","uniquesquirrelid","hectare","shift","date","hectaresquirrelnumber","age","primaryfurcolor","highlightfurcolor","combinationofcolors","colornotes","location","abovegroundsightermeasurement","specificlocation","running","chasing","climbing","eating","foraging","otheractivities","kuks","quaas","moans","tailflags","tailtwitches","approaches","indifferent","runsfrom","otherinteractions","latlon","zipcodes","communitydistricts","boroughboundaries","citycouncildistricts","policeprecincts"
"-73.9700247","40.7836929","21A-AM-1019-08","21A","AM",10192018,8,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.97002473509 40.7836929044459)",NULL,19,4,19,13
"-73.9545101","40.7903824","34I-PM-1010-03","34I","PM",10102018,3,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE","in the playground.",True,False,False,False,True,"with some nuts in the mouth",False,False,False,False,False,False,False,False,NULL,"POINT (-73.9545101041865 40.7903823616782)",NULL,19,4,19,13
"-73.9711801","40.7786889","16C-AM-1014-02","16C","AM",10142018,2,"Adult","Gray","Black, Cinnamon, White","Gray+Black, Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,True,False,False,NULL,"POINT (-73.97118011225781 40.77868889422141)",NULL,19,4,19,13
"-73.9595646","40.7899599","31E-PM-1006-03","31E","PM",10062018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE","under bushes",False,False,False,True,True,"burying",False,False,False,False,False,False,True,False,NULL,"POINT (-73.9595645962539 40.7899599350145)",NULL,19,4,19,13
"-73.9587713","40.7944503","36D-PM-1007-02","36D","PM",10072018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,True,True,False,NULL,"POINT (-73.9587712679442 40.7944502501428)",NULL,19,4,19,13
"-73.9676206","40.7845942","23B-PM-1012-01","23B","PM",10122018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,True,False,True,False,NULL,"POINT (-73.9676206022477 40.784594234984)",NULL,19,4,19,13
"-73.9741846","40.7762518","12B-PM-1018-01","12B","PM",10182018,1,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE","Climbing up rocks",False,False,True,False,True,"climbing (up rocks)",False,False,False,False,False,False,False,True,NULL,"POINT (-73.9741846413977 40.7762518164182)",NULL,19,4,19,13
"-73.9703914","40.7722458","10G-PM-1017-01","10G","PM",10172018,1,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,False,"standing",False,False,False,False,False,False,True,False,NULL,"POINT (-73.9703914126866 40.7722457975176)",NULL,19,4,19,13
"-73.9707901","40.7771671","14D-AM-1014-09","14D","AM",10142018,9,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Above Ground","30",NULL,False,False,True,False,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9707900566519 40.7771670550089)",NULL,19,4,19,13
"-73.9750864","40.7671990","3F-AM-1006-01","03F","AM",10062018,1,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE","just to right when enter sanctuary",False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.975086415444 40.7671990131313)",NULL,19,4,19,13
